Overall Average score,Overall Win percentage,Overall Average score in last 10 matches,Overall Win percentage in last 10 matches,Average score against a particular country,Win percentage against a particular country,Average score by this opposition against India,Average Score against a particular country in last 10 matches,Win percentage against a particular country in last 10 matches,Average score by this opposition against India in last 10 matches,Average score at this venue,Win percentage at this venue,Average score at this venue in last 10 matches,Win percentage at this venue in last 10 matches,Average score batting first/2nd,Win percentage batting 1st/2nd,Average score batting first/2nd in last 10 matches,Win percentage batting 1st/2nd in last 10 matches,Result
0.924559154991824,0.3181818181818182,0.92792792792792789,0.5,0.8220064724919094,0.16666666666666666,0.9122807017543859,0.7767584097859328,0.16666666666666666,0.86666666666666659,0,0,0,0,0.9315040650406504,0.3333333333333333,0.94796380090497734,0.40000000000000002,0
0.9306973478096474,0.3333333333333333,0.9522522522522523,0.5,0.8944174757281553,0.25,1.0723684210526316,0.84518348623853212,0.25,1.01875,1.0966183574879227,0,1.0841269841269841,0.33333333333333331,189.25,0.3,200.0,0.40000000000000002,0
0.9333981526494896,0.34782608695652173,0.96126126126126132,0.59999999999999998,1.034789644012945,0.3333333333333333,1.069377990430622,0.97782874617737003,0.33333333333333331,1.0159090909090909,0.821256038647343,0,0.81071428571428572,0.0,0.9424390243902439,0.36,1.0090497737556561,0.5,0
0.9324672369387353,0.3617021276595745,0.97027027027027024,0.69999999999999996,0.8723994452149793,0.2857142857142857,0.950786056049214,0.82437745740498036,0.2857142857142857,0.9032467532467533,0,0,0,0,190.57142857142858,0.3333333333333333,205.5,0.5,0
0.9284354237562794,0.375,0.91171171171171173,0.69999999999999996,0.8555825242718447,0.375,0.9222488038277512,0.8084862385321101,0.375,0.8761363636363636,0,0,0,0,188.8181818181818,0.36363636363636365,192.59999999999999,0.5,0
0.9262547994404373,0.3877551020408163,0.91306306306306306,0.80000000000000004,1.013869625520111,0.42857142857142855,1.0123034859876965,0.95806028833551771,0.42857142857142855,0.9616883116883117,0,0,0,0,0.9405253283302064,0.38461538461538464,1.0049773755656108,0.59999999999999998,0
0.9248420029168694,0.38,0.87432432432432428,0.69999999999999996,0.9939320388349514,0.375,0.9503588516746412,0.93922018348623848,0.375,0.90284090909090908,0,0,0,0,0.9374887082204155,0.37037037037037035,1.0140271493212669,0.59999999999999998,0
0.9271068660813865,0.37254901960784315,0.90000000000000002,0.59999999999999998,0.9989212513484358,0.3333333333333333,0.960127591706539,0.94393476044852187,0.33333333333333331,0.91212121212121211,0,0,0,0,0.9412891986062718,0.35714285714285715,1.0235294117647058,0.59999999999999998,0
0.9317153434800495,0.36538461538461536,0.93693693693693691,0.59999999999999998,1.0155339805825243,0.3,0.9794258373205741,0.95963302752293578,0.29999999999999999,0.93045454545454542,0,0,0,0,187.95652173913044,0.391304347826087,186.09999999999999,0.5,0
0.9351409361499161,0.3584905660377358,0.94279279279279282,0.59999999999999998,1.0242718446601942,0.2727272727272727,1.0352327098738583,0.97752293577981653,0.29999999999999999,0.99363636363636365,0,0,0,0,0.9492010092514718,0.3448275862068966,1.0104072398190045,0.5,0
0.9338482867894633,0.35185185185185186,0.90315315315315314,0.5,1.183252427184466,0.75,1.1232057416267942,1.1181192660550459,0.75,1.0670454545454546,0,0,0,0,189.66666666666666,0.375,188.0,0.5,0
0.9254430547575906,0.36363636363636365,0.8355855855855856,0.5,0.8516720604099246,0.4444444444444444,0.9080276448697501,0.80479102956167181,0.44444444444444442,0.86262626262626263,0.46859903381642515,1,0.46190476190476193,1.0,0.9465040650406504,0.3333333333333333,1.0018099547511312,0.5,0
0.9252378637405376,0.375,0.82252252252252245,0.5,0.8758668515950069,0.2857142857142857,0.8701298701298702,0.82765399737876799,0.2857142857142857,0.82662337662337659,1.357487922705314,1,1.338095238095238,1.0,185.96,0.4,175.09999999999999,0.59999999999999998,0
0.9236752552260574,0.3684210526315789,0.81756756756756754,0.40000000000000002,0.870752427184466,0.25,0.8929425837320574,0.82282110091743121,0.25,0.84829545454545452,0.7536231884057971,0,0.74285714285714288,0.0,0.9455546813532651,0.3548387096774194,0.95927601809954754,0.5,0
0.9250163445258411,0.3620689655172414,0.84189189189189195,0.29999999999999999,0.8851132686084143,0.2222222222222222,0.9053694843168527,0.83639143730886856,0.22222222222222221,0.86010101010101014,1.1594202898550725,0,1.1428571428571428,0.0,0.9474085365853658,0.34375,0.9773755656108597,0.5,0
0.928701498809357,0.3559322033898305,0.8716216216216216,0.20000000000000001,0.8577669902912621,0.5,0.8813397129186602,0.81055045871559628,0.5,0.83727272727272717,0.821256038647343,1,0.80952380952380953,1.0,185.42307692307693,0.38461538461538464,173.0,0.5,0
0.9256198347107438,0.35,0.86126126126126124,0.20000000000000001,0.9120819848975189,0.3333333333333333,1.0664540138224348,0.86187563710499493,0.33333333333333331,1.0131313131313131,0,0,0,0,0.9534368070953437,0.3333333333333333,0.96515837104072399,0.40000000000000002,0
0.9275006574910143,0.3442622950819672,0.86126126126126124,0.20000000000000001,0.9247572815533981,0.3,1.0626794258373204,0.87385321100917435,0.29999999999999999,1.0095454545454545,1.1159420289855073,1,1.1000000000000001,1.0,0.9560975609756097,0.3235294117647059,0.94162895927601808,0.29999999999999999,0
0.9323004061661989,0.3387096774193548,0.8666666666666667,0.20000000000000001,0.9518976169461606,0.2727272727272727,1.070900391474554,0.86788990825688073,0.29999999999999999,0.99818181818181817,1.1304347826086956,1,1.1142857142857143,1.0,0.9639024390243902,0.3142857142857143,0.9438914027149321,0.20000000000000001,0
0.9333209867969227,0.3333333333333333,0.85585585585585588,0.20000000000000001,0.9555016181229774,0.25,1.0637958532695375,0.88348623853211006,0.29999999999999999,1.0136363636363637,0,0,0,0,184.22222222222223,0.37037037037037035,172.0,0.5,0
0.9370442391832766,0.34375,0.88423423423423431,0.29999999999999999,0.9719940253920836,0.3076923076923077,1.0702981229297017,0.9334862385321101,0.40000000000000002,0.97090909090909083,0,0,0,0,186.25,0.39285714285714285,180.40000000000001,0.5,0
0.9311544070902361,0.3384615384615385,0.89189189189189189,0.20000000000000001,0.8473080317740511,0.45454545454545453,0.887777294475859,0.80275229357798161,0.40000000000000002,0.85227272727272729,0.821256038647343,0,0.8126984126984127,0.33333333333333331,183.75862068965517,0.3793103448275862,176.0,0.5,0
0.9305991367245622,0.3484848484848485,0.8900900900900901,0.20000000000000001,0.9420943134535368,0.2857142857142857,1.0352016404647983,0.91422018348623857,0.40000000000000002,0.95318181818181813,0.7342995169082126,0,0.72698412698412695,0.0,0.9649051490514905,0.3055555555555556,0.9538461538461539,0.10000000000000001,0
0.9337609473294683,0.3582089552238806,0.91846846846846852,0.29999999999999999,0.9106796116504854,0.2,0.9277511961722489,0.86055045871559632,0.20000000000000001,0.88136363636363635,0.8405797101449275,0,0.82857142857142863,0.5,183.76666666666668,0.4,172.80000000000001,0.59999999999999998,0
0.9318253310074639,0.36764705882352944,0.90000000000000002,0.40000000000000002,0.8574580759046778,0.18181818181818182,0.946498477598956,0.7857798165137615,0.20000000000000001,0.88318181818181818,0.8357487922705314,0,0.82499999999999996,0.25,183.16129032258064,0.41935483870967744,167.59999999999999,0.59999999999999998,0
0.9329049622004749,0.37681159420289856,0.88738738738738743,0.5,0.8511326860841424,0.5,0.886762360446571,0.8509174311926605,0.5,0.89772727272727271,0.8309178743961353,0,0.81999999999999995,0.59999999999999998,183.90625,0.4375,173.09999999999999,0.59999999999999998,0
